Profile (FG500),,,Details (FG500),,,,,,,,,,RE100,,,SBTi,,,,,,,,,,,,NZ Tracker Definition,,,,,,Carbon Neutral,,,,,,Net Zero,,,,,,,Use of carbon credits,,Other reduction targets,,,,,,Other,,,Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,Last year checks ,,,,,,this year  ,,,,,
257,302,Chubb,Insurance: Property and Casualty,Financial services,Switzerland,Europe,"$55,753","$9,272",0.027,"$246,548",43000,9,N,,,N,N,,,,,,,,,,,Emissions reduction target,Other Emission Reduction,Yes,Yes,Partial,"1,2",,N,,,,,,N,,,,,,Yes,Yes (unspecified),No,Y,"Chubb‚Äôs short-term 20% absolute GHG reduction target (2016 baseline, 2025 goal) was met ahead of schedule in 2019 with a 22% reduction. The longer-term 40% reduction target for 2035 was achieved ahead of schedule in 2021 with a 49% reduction.",2035,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,N,0,0,N,,N,N,Yes,
21,33,Cigna,Health Care: Pharmacy and Other Services,Health care and pharmaceuticals,U.S.,North America,"$247,121","$3,434",-0.335,"$155,881",72398,30,Y,2022,2030,Y,Y,Committed,,2030,,,,,,,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,Yes,"1,2,3","C,V",Y,"We are committed to maintaining carbon-neutral operations after we achieve our initial goal set for 2040. Our commitment includes Scope 1 (direct) GHG emissions from building operations and company-owned aircraft and vehicles, as well as Scope 2 (indirect) GHG emissions from purchased electricity.

For the purposes of communicating progress towards our 2040 carbon neutrality goal, we calculate our total operational emissions by summing Scope 1 and Scope 2 (market-based) emissions. This market-based subtotal has been reduced by procuring EACs and market-based emission factors. As we get closer to 2040, we plan to evaluate the use of high-quality carbon offsets103 to achieve our goal. ",2040,,,,N,,,,,,Not Specified,Not Specified,Yes,N,,,,,,,,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,N,No,N,C,Y,0,Y,,N,Y,Not Specified,
273,246,Cisco Systems,Network and Other Communications Equipment,Technology,U.S.,North America,"$53,803","$10,320",-0.182,"$124,413",90400,26,Y,2023,2030,Y,Y,Targets set,1.5°C ,2030,Targets set,1.5°C ,2040,Y,Targets set,2040,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","""In 2021, Cisco committed to net zero greenhouse gas emissions by 2040, Cisco Foundation Climate Commitment Committed US$100M over the next 10 years to address climate change. Net-zero goal: By 2040: Reach net-zero GHG emissions across our value chain by reducing absolute Scope 1, 2, and 3 emissions by 90% (FY19 base year). Our 2040 net-zero goal was approved by the Science Based Targets initiative (SBTi) in 2022 under its Corporate Net-Zero Standard.""",2040,,,Not Specified,Not Specified,Yes,N,,,,,,,,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,Y,Yes,V,N,0,U,Y,Targets set,Y,N,Not Specified,
62,71,CITIC Group,Diversified Financials,Financial services,China,Asia,"$138,940.6","$3,953.1",-0.042,"$1,690,451.4",214660,17,N,,,N,N,,,,,,,,,,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,Yes,"1,2,3","C,V",Y,"
""2060: Achieve the comprehensive integration of a green, low-carbon and recycling industrial system and a clean, low-carbon, safe and efficient energy system, with energy utilization efficiency aligning with world-leading enterprises.""",2060,,,,N,,,,,,Not Specified,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,G,"Y, g",0,N,,N,Y,Not Specified,
39,45,Citigroup,Megabanks,Financial services,U.S.,North America,"$170,757","$12,682",0.374,"$2,352,945",227855,31,N,,,N,N,,,,,,,,,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","In March 2021, Citi made a commitment to reach net zero greenhouse gas emissions by 2050, including our own operations by 2030.
https://www.citigroup.com/global/our-impact/sustainability/net-zero",2050,,,Yes,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,N,0,"C, F",N,0,Y,N,,Y,N,Yes,
444,439,CK Hutchison Holdings,Specialty Retailers,Retail,China,Asia,"$35,945.7","$-1,319.4",0,"$21,475.5",138444,29,N,,,N,N,,,,,,,,,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","AVR Afvalverwerking BV: Achieve net zero in operations in scopes 1, 2 and 3 by 2050.
Northern Gas Networks: Achieve net zero in operations by 2031 (excluding gas shrinkage) and 2050 (including gas shrinkage), in line with the UK net zero commitment.
SA Power Networks: Achieve net zero in operations by 2050 in line with the State Government target in South Australia.
UK Power Networks (""UKPN""): Reduce the business carbon footprint by 2% per annum. UKPN is currently in the process of setting a target which will be validated by the Science Based Target Initiative in 2021.
   
Wales & West Utilities: Become a net zero ready carbon emission network by 2035. Reduce GHG emissions by 37.5% by 2035 versus 2020.
 Telecommunications: CK Hutchison Group Telecom is currently in the process of setting a target which will be validated by the Science Based Target Initiative in 2021.",2050,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,N,0,V,N,0,Y,N,,Y,N,Not Specified,
323,332,Coca-Cola,Beverages,"Food, beverages and agriculture",U.S.,North America,"$47,061","$10,631",-0.008,"$100,549",69700,31,N,,,Y,Y,Targets set,2Â°C,2030,,,,,,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","""Our long-term ambition is to be net zero carbon by 2050.""
",2050,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,Y,No,V,N,0,Y,Y,,Y,N,Not Specified,
133,106,COFCO,Trading,Financial services,China,Asia,"$88,260",$143,-0.887,"$95,897.7",106365,31,N,,,Y,Y,Targets set,1.5°C ,2033,,,,,,,,,,,,,,,N,,,,,,N,,,,,,Not Specified,,,N,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,Y,No,N,G,U,0,Y,,N,N,Not Specified,
75,76,Comcast,Entertainment,Telecommunications and media,U.S.,North America,"$123,731","$16,192",0.052,"$266,211",182000,23,N,,,Y,Y,Targets set,1.5°C ,2030,,,,,,,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,No,"1,2",C,Y,"Our goal to be carbon neutral by 2035 means reducing our Scope 1 and 2 emissions, or the direct and indirect emissions we own and control across our global operations",2035,,,,N,,,,,,Yes,Not Specified,No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,N,No,N,C,U,0,Y,,N,Y,Yes,
358,484,Commonwealth Bank of Australia,Banks: Commercial and Savings,Financial services,Australia,Oceania,"$42,945.7","$6,157.6",-0.093,"$836,831.7",48887,19,Y,2018,2030,N,N,,,,,,,,,,,Net zero,Net Zero,Yes,Yes,Partial,"1,2",,N,,,,,C,Y,"1,2","""For the past three years, we have been working to progressively set interim 2030 sector-level financed emissions targets. The objective of setting and tracking against these 2030 targets is to help us support Australia‚Äôs transition to net zero by 2050 and meet our NZBA commitment.""(p26)",2050,,,Yes,Not Specified,No,N,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,N,0,C,C,Y,Y,N,,Y,N,Yes,
370,398,Compass Group,Diversified Outsourcing Services,Industrial goods,Britain,Europe,"$42,002","$1,404",-0.128,"$24,349",579126,23,N,,,Y,Y,Targets set,1.5°C ,2030,Targets set,1.5°C ,2050,Y,Targets set,2050,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","""Approved Science based targets to 2030. Carbon neutrality in our operations by 2030 (Scope 1 & 2). Climate Net Zero by 2050 across our value chain."" as per the Global Roadmap to Net Zero https://web.archive.org/web/20250927184014/https://www.compass-group.com/content/dam/compass-group/corporate/sustainability/net-zero/Planet_Promise_Roadmap_1021.pdf",2050,,,Yes,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,Y,No,V,C,Y,Y,Y,Targets set,Y,N,Yes,
245,235,ConocoPhillips,"Mining, Crude-Oil Production",Metals and mining,U.S.,North America,"$56,953","$9,245",-0.156,"$122,780",11800,30,N,,,N,N,,,,,,,,,,,Net zero,Net Zero,Yes,Yes,No,"1,2",,N,,,,,C,Y,"1,2",,2030,,,Yes,Yes (nature-based and CCS-based removals),No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,N,0,C,N,0,Y,N,,Y,N,Yes,
303,250,Contemporary Amperex Technology,Motor Vehicles & Parts,Automotive,China,Asia,"$50,313.4","$7,052.6",0.132,"$107,771.7",131988,3,N,,,N,N,,,,,,,,,,,No target,No Target,yes,yes,,"1,2","C,V",Y,Carbon neutrality in core operations by 2025”; “across entire supply chain by 2035,2035,https://www.catl.com/en/news/6014.html,,,N,,,,,,Yes,,,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,N,0,N,"C, V",U,0,N,,N,Y,Yes,
357,344,Continental,Motor Vehicle Parts,Automotive,Germany,Europe,"$42,953.4","$1,263.1",0.01,"$38,275",190159,23,Y,2020,2040,Y,Y,Targets set,1.5°C ,2030,,,,,,,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,Yes,"1,2,3","C,V",Y,Continental is committed to the Paris Agreement and is aiming for 100% carbon neutrality by 2050 at the latest â€“ along its entire value chain.,2050,,,,N,,,,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,Y,No,N,V,Y,0,Y,,N,Y,Not Specified,
392,392,Coop Group,Food & Drug Stores,Retail,Switzerland,Europe,"$39,591.2",$664.4,0.038,"$25,629.1",83959,16,N,,,N,N,,,,,,,,,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","Our long-term goal is to reach Net Zero emissions across our full value chain by 2040, and for our own operations by 2035. (pg 43)",2040,,,Not Specified,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,N,0,C,N,0,U,N,,Y,N,Not Specified,
212,267,COSCO Shipping,Shipping,Transportation and logistics,China,Asia,"$64,863.1","$5,866.1",0.637,"$156,110.1",104487,18,N,,,Y,Y,Targets set,1.5°C,2030,Targets set,1.5°C,2050,Y,Targets set,2050,,Carbon neutral(ity),Carbon Neutral,Not Specified,Not Specified,Not Specified,,,Y,"COSCO  SHIPPING  has  fully  implemented  the  national  strategy  of  ""carbon  peak  and  carbon  neutrality"",  actively  promoted  the  upgrading  of  digital  management,  accelerated  the  green  and  intelligent  ship  technology  revolution  and  industrialization,  and  supported  and  driven  the  active  and  prudent  evolution  of  the  industry  toward  a  green  and  low-carbon  direction,  thus  contributing  the  ""power of Chinese shipping"" to the green and zero-carbon shipping",2060,,,,N,,,,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,Y,Yes,N,C,U,0,Y,Targets set,N,Y,Not Specified,
20,20,Costco Wholesale,General Merchandisers,Retail,U.S.,North America,"$254,453","$7,367",0.171,"$69,831",333000,31,N,,,N,N,,,,,,,,,,,Emissions reduction target,Other Emission Reduction,Yes,Yes,Partial,"1,2",,N,,,,,,N,,,,,,Not Specified,Not Specified,No,Y,We have committed to an ambitious Scope 1 and Scope 2 emission reduction target: 39% absolute reduction by 2030 compared to our 2020 base year. ,2030,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,N,0,0,N,,N,N,Not Specified,
460,#N/A,Country Garden Holdings,Real estate,Real estate,China,Asia,"$35,058.2",$525.8,0.042,"$20,574.9",98202,13,N,,,N,N,,,,,,,,,,,No target,No Target,Yes,Yes,,"1,2",G,N,committed to national peak and neutrality targets,2060,https://www.sohu.com/a/675767707_116062,,,N,,,,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N,,N,N,Not Specified,
494,465,CPC,Petroleum Refining,Oil and gas,Taiwan,Asia,"$32,768.9","$-1,028.9",0,"$33,926.5",16637,24,N,,,N,N,,,,,,,,,,,"Annually conduct greenhouse gas emissions inventory and disclosure through ISO 14064-1.
•Set CPC’ s interim target of reducing emissions by 50.2% by 2032 compared to 2005 levels, striving to 
achieve net-zero emissions through measures such as improving energy efficiency, using low-carbon 
fuels, recovering and utilizing energy, adopting renewable energy, carbon capture and storage, hydrogen energy, and carbon-neutral natural gas",,Yes,Yes,,"1,2",,N,"Annually conduct greenhouse gas emissions inventory and disclosure through ISO 14064-1. •Set CPC’ s interim target of reducing emissions by 50.2% by 2032 compared to 2005 levels, striving to achieve net-zero emissions through measures such as improving energy efficiency, using low-carbon fuels, recovering and utilizing energy, adopting renewable energy, carbon capture and storage, hydrogen energy, and carbon-neutral natural gas",,,,C,Y,"1,2",,2050,,,Yes,,,N,,,,,,,https://ws.cpc.com.tw/CPCCSREN/2025_EN_CPC_CSR.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,N,0,C,N,0,Y,N,,Y,N,Yes,
125,118,Credit Agricole,Banks: Commercial and Savings,Financial services,France,Europe,"$90,552.6","$7,664.1",0.117,"$2,391,573.8",78401,31,Y,2016,2030,Y,Y,Committed,,2030,,,,,,,,Net zero,Net Zero,Yes,Yes,Partial,"1,2",,N,,,,,C,Y,"1,2","""A commitment to contribute to global carbon neutrality by 2050""",2050,,,Yes,Yes (unspecified),No,N,,,,"domestic energy sector evolution perspectives, formulates ambitions towards net zero emissions by 2050.",,,,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,N,No,N,C + F,Y,0,Y,,Y,N,Yes,
298,337,Crédit Mutuel Group,Diversified Financials,Financial services,France,Europe,"$50,619.7","$4,264.1",0.001,"$965,219.5",72352,2,N,,,N,N,,,,,,,,,,,,,,,,,,N,,,https://www.creditmutuel.com/en/deploying-our-csr-approach/our-csr-commitments.html,,,Y,,,2050,Our CSR commitments | Crédit Mutuel group,"Led by the banking sector in coordination with the United Nations Environment Programme Finance Initiative (UNEP-FI), the Net-Zero Banking Alliance works to achieve the Paris Agreement carbon neutrality target, aiming to align bank portfolio-related emissions with pathways to net zero greenhouse gas emissions by 2050.",Yes,,,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N,,Y,N,Yes,
457,443,CRH,"Building Materials, Glass",Industrial goods,Ireland,Europe,"$35,441.5","$3,932.5",-0.002,"$41,312.8",13265,5,N,,,Y,Y,Targets set,1.5°C ,2030,,,,,,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","Our ambition is to be
carbon neutral along the
cement and concrete
value chain by 2050.",2050,,,Not Specified,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,Y,No,V,N,0,U,Y,,Y,N,Not Specified,
448,451,CRRC Group,Industrial Machinery,Industrial goods,China,Asia,"$35,779",$-468,-1.682,"$86,779",433000,26,N,,,N,N,,,,,,,,,,,No target,No Target,Not Specified,Not Specified,Not Specified,,"C,V",Y,aligend with dual ,2050,https://www.crrcgc.cc/sdxc/304_20948/304_21032/304_22675/index.html,,,N,,,,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,N,0,N,"C, V",U,0,N,,N,Y,Not Specified,
472,459,Cummins,Industrial Machinery,Industrial goods,U.S.,North America,"$34,057.9","$2,206.1",0.024,"$76,754.8",139163,6,N,,,Y,Y,Targets set,1.5°C ,2030,,,,,,,,Net zero,Net Zero,Yes,Yes,No,"1,2",,N,,,,,C,Y,"1,2",Achieving net-zero emissions across Cummins‚Äô facilities and operations by 2050,2050,,,Not Specified,No,No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,Y,No,C,N,0,U,Y,,Y,N,Not Specified,
9,10,CVS Health,Health Care: Pharmacy and Other Services,Health care and pharmaceuticals,U.S.,North America,"$372,809","$4,614",-0.447,"$253,215",259500,30,N,,,Y,Y,Targets set,1.5°C ,2030,Targets set,1.5°C ,2050,Y,Targets set,2050,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","*CVS health is one of the first companies in the world to have our net zero targets validated by the Science-Based Targets initiative's (SBTi) net zero methodology. This set us on the path to achieving net zero emissions from our direct operations by 2048 and across their value chain by 2050. They also committed to achieving carbon neutrality by 2030.
*Reduce absolute scope: 1, 2 and 3 (value chain) emissions by 90% by 2050. ",2050,,,Yes,Not Specified,No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,Y,Yes,"C, V",C,U,U,Y,Targets set,Y,N,Yes,
432,434,D.R. Horton,Homebuilders,Engineering and construction,U.S.,North America,"$36,801.4","$4,756.4",0.002,"$36,104.3",14766,5,N,,,N,N,,,,,,,,,,,No target,No Target,No,No,No,,,N,,,https://investor.drhorton.com/~/media/Files/D/D-R-Horton-IR/documents/d-r-horton-inc-fy2024-sustainability-report.pdf,no usefull information,,N,,,,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,N,0,0,N,,N,N,Not Specified,
214,164,Dai-ichi Life Holdings,"Insurance: Life, Health (stock)",Financial services,Japan,Asia,"$64,766.4","$2,818.2",0.27,"$464,293.6",60814,31,N,,,N,N,,,,,,,,,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","In March 2021, we made a pledge to realize net-zero of Scope 1 and Scope2 of our entire Group by FY2040 and net-zero of supply chain and investment portfolio of Dai-ichi Life Insurance Company (‚ÄúDai-ichiLife‚Äù), the Group‚Äôs core insurance business entity in Japan, by FY2050. (Page 4, Net Zero Transition Plan, 2023)",2050,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,N,0,V,I,0,U,N,,Y,N,Not Specified,
238,227,Daimler Truck Holding,Motor Vehicles & Parts,Automotive,Germany,Europe,"$58,480.6","$3,136.2",-0.232,"$76,469.3",108167,3,N,,,N,N,,,,,,,,,,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,No,"1,2",C,Y,"""Based on our CO2e reduction targets, we strive to continuously reduce emissions in our production processes. In addition, we are currently focusing on offsetting the remaining CO‚ÇÇe emissions...By 2039, all production sites worldwide should be carbon-neutral on the balance sheet."" (P.84, 2024 Annual Report)
",2039,,,,N,,,,,,Yes,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,N,0,N,"C, V",U,0,N,,N,Y,Yes,
456,423,Daiwa House Industry,Engineering & Construction,Engineering and construction,Japan,Asia,"$35,572","$3,492",0.099,"$50,613",79800,22,N,,,Y,Y,Targets set,1.5°C ,2031,Targets set,1.5°C ,2050,Y,Targets set,2050,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,Yes,"1,2,3","C,V",Y,"The Group‚Äôs target is to reduce GHG emissions by 40% by 2030 (compared to fiscal 2015 levels) and to achieve carbon neutrality by 2050. To meet this goal, the group aim to realize carbon neutrality at all three stages of the value chain, namely business activities, community development, and the supply chain.",2050,,,,N,,,,,,Yes,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,N,,,,,,,,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,Y,Yes,V,C,U,U,Y,Targets set,N,Y,Yes,
288,221,Deere,Construction and Farm Machinery,Engineering and construction,U.S.,North America,"$51,716","$7,100",-0.302,"$107,320",55524,31,N,,,Y,Y,Targets set,1.5°C ,2030,,,,,,,,Zero emissions,Net Zero,Yes,Yes,Partial,"1,2",,N,,,,,C,Y,"1,2","Deere has validated Science Based Targets to reduce its Scope 1 and 2 GHG emissions by an additional 50 percent by 2030, with fiscal year 2021 serving as the baseline. We‚Äôll aim to accomplish this through efficiency gains in operations and facilities processes, and by leveraging renewable electricity and fuels... 30% reduction in upstream and downstream CO2-e emissions (scope 3) by 2030.",2050,,,Not Specified,Yes (unspecified),No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,Y,No,N,N,0,0,Y,,Y,N,Not Specified,
111,133,Dell Technologies,Computers,Technology,U.S.,North America,"$95,567","$4,592",0.355,"$79,746",108000,25,Y,2019,2040,Y,Y,Targets set,1.5°C ,2031,Targets set,1.5°C ,2051,Y,Targets set,2051,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","Dellâ€™s long-term approach to managing our contribution to climate change is a commitment to reach net-zero carbon emissions across our full greenhouse gas inventory by 2050, inclusive of Scope 1, Scope 2 and Scope 3 carbon emissions.
",2050,,,Not Specified,No,No,N,,,,,,,,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,Y,Yes,V,N,0,Y,Y,Targets set,Y,N,Not Specified,
225,237,Delta Air Lines,Airlines,Transportation and logistics,U.S.,North America,"$61,643","$3,457",-0.25,"$75,372",103000,30,N,,,Y,Y,Targets set,Well-below 2¬∞C,2035,,,,N,Committed,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3",Delta has set medium- and long-term climate goals aligned with Science Based Targets initiative (SBTi) guidelines. Our ultimate goal is to achieve net-zero emissions for our airline operations by 2050.,2050,,,Yes,Yes (unspecified),No,N,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,Y,Yes,C,C,Y,Y,Y,Committed,Y,N,Yes,
